property_type,address,bedroom_number,bathroom_number,area,phone,description,listed_in_site,link,company,price
Villa,"Stone Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,4,295 sqm,tel:+201025447652,Villa For sale 295M Golf View Stone Park New Cairo,Listed 11 hours ago,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-stone-park-5028420.html,GPR Property logo image,"3,000,000 EGP"
Apartment,"Porto Marina, Al Alamein, North Coast",3,2,125 sqm,tel:+201016645466,A distinctive chalet for sale in Porto Marina,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-north-coast-al-alamein-porto-marina-5027855.html,LEVEL UP Real Estate logo image,"8,500,000 EGP"
Apartment,"Park Side Residence, Zed Towers, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",3,3,168 sqm,tel:+201280862222,Opportunity Under Market price in zed towers,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-giza-sheikh-zayed-city-sheikh-zayed-compounds-zed-towers-park-side-residence-5024931.html,New Avenue Real Estate logo image,"11,400,000 EGP"
Apartment,"New Giza, Cairo Alexandria Desert Road, 6 October City, Giza",3,2,185 sqm,tel:+20221208034,Apartment for sale - jasper lake new giza,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-giza-6-october-city-cairo-alexandria-desert-road-new-giza-5024762.html,Premium Real estate logo image,"12,500,000 EGP"
Apartment,"Noor City, Cairo",3,3,131 sqm,tel:+201096566594,Noor City Direct from TMG | 131m2 Apartment,Listed 8 hours ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-noor-city-5028566.html,TMG Direct logo image,"529,000 EGP"
Chalet,"Sea View, Qesm Ad Dabaah, North Coast",3,2,120 sqm,tel:+201155544006,best cahalet prices in Ras El Hekma 120m over 10yr,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/chalet-for-sale-north-coast-qesm-ad-dabaah-sea-view-5024913.html,Esraa logo image,"7,792,000 EGP"
Apartment,"Sarai, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",2,3,147 sqm,tel:+201050803313,Resale Apartment 147sqm+ Garden 310m Ready T Move,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-mostakbal-city-compounds-sarai-5027291.html,Allocate Real Estate logo image,"5,350,000 EGP"
Villa,"Seashell, Sidi Abdel Rahman, North Coast",4,4,592 sqm,tel:+20221257200,Air Block | Sky phase | Seashell | NorthCoast |,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-north-coast-sidi-abdel-rahman-seashell-5025214.html,URE-Ultimate Real Estate logo image,"40,500,000 EGP"
Villa,"Terencia, Uptown Cairo, Mokattam, Cairo",4,4,312 sqm,tel:+201096963555,Ready to move Villa fully finished in Uptown Cairo,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-mokattam-uptown-cairo-terencia-5023647.html,Green Homes Real estate Agency logo image,"42,000,000 EGP"
Chalet,"Hacienda West, Ras Al Hekma, North Coast",2,2,90 sqm,tel:+201275973531,new launch Ahly sabbour-Ras elhekma-best invesment,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/chalet-for-sale-north-coast-ras-al-hekma-hacienda-west-5027179.html,Egypt Best Properties West logo image,"7,000,000 EGP"
Apartment,"Azad, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,2,213 sqm,tel:+201016645466,Penthouse for sale in Azad Fifth Settlement,Listed 7 hours ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-azad-5028592.html,LEVEL UP Real Estate logo image,"9,000,000 EGP"
Villa,"O West, 6 October Compounds, 6 October City, Giza",3,3,329 sqm,tel:+201200024433,lux Villa ready to move over looking to land scape,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-giza-6-october-city-6-october-compounds-o-west-5027199.html,Egypt Best Properties West logo image,"18,000,000 EGP"
Chalet,"Marassi, Sidi Abdel Rahman, North Coast",1,1,105 sqm,tel:+20221208555,Ground Chalet Bahary + Prime Location - Marassi,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/chalet-for-sale-north-coast-sidi-abdel-rahman-marassi-5026116.html,Concept Investment logo image,"12,500,000 EGP"
Apartment,"Monark, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",3,3,155 sqm,tel:+201070001420,"Apartment for sale, 155 meters, in Royal",Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-mostakbal-city-future-city-mostakbal-city-compounds-monark-5025789.html,Black Brick For Real Estate logo image,"8,493,300 EGP"
Apartment,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,3,152 sqm,tel:+20221257261,Apartment with installments palmhills newcairo,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-palm-hills-new-cairo-5026083.html,URE-Ultimate Real Estate logo image,"7,319,742 EGP"
Twin House,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,190 sqm,tel:+201096963555,Twinhouse fully finished for sale in Mivida,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/twin-house-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-mivida-5025118.html,Green Homes Real estate Agency logo image,"24,500,000 EGP"
Penthouse,"Lake View Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,4,300 sqm,tel:+20221208356,"Penthouse for sale,Fully finished in Lake View",Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/penthouse-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-lake-view-residence-5026045.html,FLR Real Estate logo image,"33,000,000 EGP"
Apartment,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,183 sqm,tel:+201070002929,Ready to Move Facing North with Good Price,Listed 13 hours ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-palm-hills-new-cairo-5028291.html,ALux Investments logo image,"8,700,000 EGP"
Apartment,"Eelaf Compound, New Cairo City, Cairo",3,3,170 sqm,tel:+20221257418,Pay 400K Apartment 170m With installment 10 Years,Listed 6 hours ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-eelaf-compound-5028666.html,IRTKAZ logo image,"8,018,000 EGP"
Apartment,"Sun Capital, Fayoum Desert road, 6 October City, Giza",2,2,105 sqm,tel:+201103343373,RTM Apartment in October city without Down Payment,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-giza-6-october-city-fayoum-desert-road-sun-capital-5025355.html,Element not found,"5,150,000 EGP"
iVilla,"Mountain View iCity, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,2,210 sqm,tel:+201148390772,under marker price IVilla For Sale At MV,Listed 11 hours ago,https://www.propertyfinder.eg/en/plp/buy/ivilla-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-mountain-view-icity-5028437.html,Element not found,"8,000,000 EGP"
Townhouse,"Palm Hills Katameya Extension, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,4,300 sqm,tel:+201016909538,Townhouse semi-finished in Palm Hills Extension,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-palm-hills-katameya-extension-5024619.html,YaKan Properties logo image,"18,350,000 EGP"
Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",3,3,158 sqm,tel:+201020044221,Finished 3 beds Apartment in Maqsad Ready to move,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-5023865.html,Egypt Best Properties West logo image,"3,900,000 EGP"
Villa,"The Wonder Marq, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",4,4,120 sqm,tel:+201155582007,with d.p 10% villa for sale in the wonder mark,Listed 7 hours ago,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-mostakbal-city-compounds-the-wonder-marq-5028612.html,Element not found,"1,100,000 EGP"
Villa,"Sarai, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",4,4,240 sqm,tel:+201092544249,"S villa for sale, 240 sqm, in Sarai New Cairo",Listed 12 hours ago,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-mostakbal-city-compounds-sarai-5028367.html,GPR Property logo image,"1,200,000 EGP"
Villa,"Village Gardens Katameya, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,405 sqm,tel:+201016909538,Semi finished villa in Village Gardens Katameya,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-village-gardens-katameya-5023914.html,YaKan Properties logo image,"19,000,000 EGP"
Twin House,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,4,297 sqm,tel:+20221257116,READY TO MOVE | RESALE Twin house in PALM HILLS,Listed 6 hours ago,https://www.propertyfinder.eg/en/plp/buy/twin-house-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-palm-hills-new-cairo-5028669.html,IRTKAZ logo image,"18,600,000 EGP"
Apartment,"Zed East, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,3,183 sqm,tel:+201200050075,Resale apart in zed east with 1.4 millions dp.,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-zed-east-5027163.html,Egypt Best Properties West logo image,"11,100,000 EGP"
Apartment,"Mountain View iCity October, 6 October Compounds, 6 October City, Giza",3,3,150 sqm,tel:+201050169111,Apartment for Sale first floor view landscape,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-giza-6-october-city-6-october-compounds-mountain-view-icity-october-5024208.html,DADDY ESTATE logo image,"5,500,000 EGP"
Chalet,"Summer, Ras Al Hekma, North Coast",2,2,90 sqm,tel:+20221208136,Sabbour Launching Chalet 2 BR | 5% DP Ras El Hekma,Listed 6 hours ago,https://www.propertyfinder.eg/en/plp/buy/chalet-for-sale-north-coast-ras-al-hekma-summer-5028634.html,Mirage Consultancy logo image,"8,000,000 EGP"
Penthouse,"Badya Palm Hills, 6 October Compounds, 6 October City, Giza",2,2,115 sqm,tel:+20221208363,Penthouse without down payment in Palm Hills,Listed 4 hours ago,https://www.propertyfinder.eg/en/plp/buy/penthouse-for-sale-giza-6-october-city-6-october-compounds-badya-palm-hills-5028762.html,Capital Agency For Real Estate logo image,"9,800,000 EGP"
Chalet,"Cali Coast, Ras Al Hekma, North Coast",1,1,65 sqm,tel:+201146151514,"Chalet in Ras Al Hikma, finished,with Acs, with 5%",Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/chalet-for-sale-north-coast-ras-al-hekma-cali-coast-5027092.html,La Plage Group logo image,"6,859,000 EGP"
Villa,"SAA'DA, The 1st Settlement, New Cairo City, Cairo",5,5,457 sqm,tel:+201062525558,Villa in Saada New Cairo with 7 years installments,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-cairo-city-the-1st-settlement-saa-da-5024988.html,Directions Real Estate Consultancy logo image,"3,050,000 EGP"
Apartment,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,170 sqm,tel:+20221257304,Immediate Delivery Resale Apartment At PNC,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-palm-hills-new-cairo-5024732.html,Blue Rock Real Estate logo image,"7,450,000 EGP"
Apartment,"Cairo Festival City, North Investors Area, New Cairo City, Cairo",2,3,149 sqm,tel:+201103600295,Fully finished &amp; funished Apartment 4 sale CFC,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-north-investors-area-cairo-festival-city-5026819.html,Avadar Properties logo image,"13,500,000 EGP"
